wetland	bins	bin_length	num_contigs	N50	GC_content	Completeness	Contamination	Strain heterogeneity	domain	phylum	class	order	family	genus	species	metaG_T0_rpkm	metaG_anoxicT1_rpkm	metaG_anoxicT2_rpkm	metaG_anoxicT3_rpkm	metaG_anoxicT4_rpkm	metaG_oxicT1_rpkm	metaG_oxicT2_rpkm	metaG_oxicT3_rpkm	metaG_oxicT4_rpkm	metaT_T0_RPKM	metaT_oxicT1_rpkm	metaT_oxicT2_rpkm	metaT_anoxicT1_rpkm	metaT_anoxicT2_rpkm
Peat	bin_64	4171088	452	13437	69.89198806	90.55	8.99	26.67	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__UBA5066	g__Fen-183	s__	0.226	0.253	0.306	0.138	0.147	0.517	0.727	0.417	0.345	0.0253	0.0593	0.1059	0.0287	0.0305
Peat	bin_65	3068119	499	7152	71.77133283	81.68	1.1	0	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__JACRLI01	g__	s__	0.007	0.006	0.007	0.114	0.168	0.007	0.006	0.155	0.147	0.0944	0.1275	0.1406	0.1293	0.1935
Peat	bin_66	3462381	55	100229	43.41534587	98.1	1.67	0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__	s__	0.002	0.001	0.000	0.285	0.507	0.000	0.000	0.051	0.026	0.0072	0.0052	0.0059	0.0066	0.0178
Peat	bin_67	508565	46	17098	36.22448512	50.28	1.12	100	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__GWA1-40-21	g__Bog-1340	s__	0.000	0.000	0.000	0.755	0.134	0.000	0.000	0.164	0.435	0.0000	0.0000	0.0000	0.0001	0.0000
Peat	bin_68	2893523	232	18426	58.70785695	86.77	2.25	50	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__	0.001	0.001	0.001	0.261	0.083	0.000	0.000	0.162	0.102	0.0084	0.0038	0.0032	0.0064	0.0086
Peat	bin_69	3883767	161	41673	52.87791451	92.24	3.01	16.67	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA10030	g__UBA9647	s__	0.057	0.038	0.014	0.134	0.182	0.018	0.015	0.157	0.096	0.0649	0.0593	0.0654	0.0513	0.0820
Peat	bin_7	3952712	955	4168	66.02969303	59.63	2.67	55.56	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Palsa-1150	s__	0.113	0.075	0.067	0.071	0.058	0.039	0.024	0.035	0.030	0.0077	0.0033	0.0020	0.0047	0.0035
Peat	bin_70	5344359	386	23968	59.51988463	93.4	7.73	35.29	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__SZUA-6	f__Fen-1364	g__Fen-1364	s__	0.008	0.006	0.006	0.207	0.455	0.002	0.002	0.080	0.045	0.0014	0.0011	0.0009	0.0013	0.0020
Peat	bin_71	4990384	494	13678	64.53731503	81.11	2.02	40	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Baltobacterales	f__Baltobacteraceae	g__Lustribacter	s__	0.055	0.077	0.048	0.054	0.037	0.087	0.091	0.091	0.040	0.0080	0.0150	0.0177	0.0080	0.0074
Peat	bin_72	3552845	312	17074	69.48980444	75.21	0.85	0	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-555	g__	s__	0.070	0.086	0.117	0.019	0.010	0.206	0.146	0.028	0.013	0.0008	0.0060	0.0050	0.0030	0.0022
Peat	bin_73	3181231	282	17502	61.13608463	93.23	1.1	50	d__Bacteria	p__Chloroflexota	c__UBA5177	o__UBA5177	f__JAJPKF01	g__	s__	0.007	0.006	0.006	0.043	0.061	0.005	0.011	0.209	0.228	0.0130	0.0171	0.0238	0.0209	0.0278
Peat	bin_74	3970705	640	7177	59.48370895	66.98	6.9	100	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Terracidiphilus	s__	0.020	0.010	0.036	0.129	0.317	0.015	0.021	0.101	0.093	0.0124	0.0154	0.0127	0.0060	0.0090
Peat	bin_75	5057287	753	8360	38.37285684	89.79	2.22	0	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__	0.004	0.036	0.035	0.668	0.108	0.005	0.010	0.107	0.046	0.0042	0.0084	0.0124	0.0479	0.0400
Peat	bin_76	835770	77	13760	31.25557818	67.76	1.4	50	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__UBA10107	g__UBA10107	s__	0.000	0.000	0.000	0.093	0.438	0.000	0.000	0.024	0.463	0.0044	0.0028	0.0020	0.0024	0.0041
Peat	bin_77	539325	72	10073	36.30249616	60.02	4.51	100	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__GWA1-40-21	g__Bog-1340	s__	0.001	0.000	0.000	0.614	0.735	0.001	0.000	0.141	1.081	0.0140	0.0153	0.0138	0.0085	0.0163
Peat	bin_78	2136482	405	5787	63.26885556	66.93	1.38	37.5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__PFJX01	s__	0.333	0.173	0.097	0.028	0.023	0.234	0.113	0.044	0.031	0.0583	0.0278	0.0188	0.0218	0.0175
Peat	bin_79	731155	42	22398	33.75663842	76.61	2.62	100	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__GWA1-40-21	g__Bog-1340	s__	0.000	0.000	0.000	0.154	0.053	0.000	0.000	0.087	0.686	0.0011	0.0019	0.0012	0.0006	0.0011
Peat	bin_8	940397	229	4177	60.46559376	53.16	1.28	50	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__	s__	0.059	0.056	0.027	0.004	0.002	0.128	0.118	0.010	0.004	0.0027	0.0037	0.0039	0.0011	0.0008
Peat	bin_80	3623082	507	8550	58.41614708	81.65	2.22	28.57	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__SZUA-254	g__	s__	0.019	0.019	0.012	0.084	0.111	0.009	0.010	0.131	0.080	0.0018	0.0023	0.0030	0.0018	0.0036
Peat	bin_81	2857331	332	10971	60.31468556	79.32	1.71	100	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Palsa-288	s__	0.023	0.022	0.056	0.118	0.087	0.046	0.118	0.549	0.565	0.0019	0.0033	0.0068	0.0019	0.0027
Peat	bin_82	3824629	246	21803	50.08864444	92.75	5.46	50	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__JAGVPT01	s__	0.101	0.070	0.016	0.219	0.177	0.027	0.037	0.376	0.323	0.0110	0.0085	0.0092	0.0054	0.0086
Peat	bin_83	4559163	107	65943	40.34651659	98.39	1.34	50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Cfx3-03	g__Cfx3-03	s__	0.021	0.023	0.275	14.897	19.962	0.011	0.010	9.779	7.241	0.0036	0.0027	0.0035	0.0333	0.0599
Peat	bin_84	3274390	315	15003	73.30559991	89.96	0.61	0	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__JACRPT01	s__	0.003	0.002	0.003	0.051	0.659	0.003	0.001	0.048	0.057	0.0074	0.0045	0.0041	0.0060	0.0041
Peat	bin_85	2299136	482	5019	65.09963543	52.63	5.26	25	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__	0.076	0.102	0.097	0.029	0.051	0.082	0.088	0.037	0.022	0.0030	0.0031	0.0032	0.0044	0.0026
Peat	bin_86	968407	205	4797	51.03310132	53.53	2.64	80	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__	0.117	0.041	0.010	0.105	0.249	0.004	0.003	0.046	0.048	0.0099	0.0062	0.0036	0.0046	0.0076
Peat	bin_87	684916	72	12811	37.28427351	76.49	4.49	25	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA9973	s__	0.010	0.003	0.002	0.140	0.155	0.002	0.001	0.107	0.226	0.0135	0.0200	0.0137	0.0092	0.0146
Peat	bin_88	3203138	146	34460	49.00672564	97.67	0.57	25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__FEN-979	g__FEN-979	s__	0.100	0.064	0.016	0.115	0.161	0.027	0.022	0.093	0.116	0.0070	0.0064	0.0064	0.0096	0.0137
Peat	bin_89	1101903	125	12527	62.36921668	67.49	2.97	100	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__SBBC01	g__CAINXF01	s__	0.002	0.002	0.002	0.543	0.265	0.002	0.002	1.040	1.116	0.0050	0.0064	0.0079	0.0064	0.0079
Peat	bin_9	3088731	690	4550	70.91062764	56.75	8.79	33.33	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__JACORV01	g__Fen-1245	s__	0.066	0.043	0.052	0.051	0.090	0.048	0.046	0.211	0.224	0.0117	0.0191	0.0192	0.0113	0.0218
Peat	bin_90	3999030	187	36414	38.21145605	95.95	9.52	30.77	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__	0.067	0.008	0.002	0.285	0.663	0.007	0.002	0.137	0.190	0.0089	0.0047	0.0030	0.0051	0.0088
Peat	bin_91	5017414	450	15432	53.26746362	96.45	2.58	25	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA4778	g__UBA4778	s__	0.001	0.001	0.001	0.026	0.226	0.001	0.001	0.030	0.229	0.0001	0.0001	0.0001	0.0002	0.0001
Peat	bin_92	877958	108	9580	61.11027774	56.85	1.72	0	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__SBBC01	g__CAINXF01	s__	0.002	0.001	0.001	0.142	0.127	0.001	0.001	0.276	0.217	0.0002	0.0001	0.0002	0.0002	0.0005
Peat	bin_93	1885616	388	5202	34.28570369	60.8	0.82	0	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__SJA-28	f__OLB5	g__	s__	0.037	0.018	0.008	0.148	0.186	0.010	0.004	0.127	0.107	0.0166	0.0217	0.0224	0.0193	0.0353
Peat	bin_94	2880825	212	22878	65.64732943	74.58	2.99	80	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__CAIUMH01	s__	0.052	0.055	0.044	0.008	0.004	0.396	0.302	0.083	0.097	0.0064	0.0249	0.0209	0.0071	0.0045
Peat	bin_95	2666367	327	9264	36.40730354	63.17	1.79	100	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__CG2-30-32-10	g__CAINEZ01	s__	0.005	0.002	0.003	0.145	0.494	0.001	0.000	0.763	0.339	0.0010	0.0002	0.0001	0.0004	0.0020
Peat	bin_96	3273521	213	27397	55.20803311	89.68	3.87	33.33	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__PHBD01	g__	s__	0.021	0.009	0.003	0.307	0.758	0.004	0.002	0.247	0.382	0.2706	0.2546	0.2610	0.1978	0.2560
Peat	bin_97	4271534	301	20129	59.32375535	78.61	4.31	33.33	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__SbA1	g__Sulfotelmatobacter	s__	0.506	0.583	0.545	0.127	0.086	0.689	0.633	0.187	0.124	0.1271	0.1367	0.1156	0.0843	0.0940
Peat	bin_98	4342175	692	7400	40.33664972	88.82	5.38	71.43	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA4417	g__	s__	0.006	0.002	0.008	0.280	0.218	0.005	0.005	9.071	29.565	0.0002	0.0001	0.0007	0.0007	0.0043
Peat	bin_99	2974601	507	6666	61.24124532	74.89	0.67	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__Rhizomicrobium	s__	0.305	0.176	0.116	0.065	0.029	0.704	0.270	0.114	0.129	0.1745	0.3546	0.2740	0.1396	0.1095
Saltmarsh	bin_1	3005854	112	46394	63.09796214	74.55	2.91	25	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__JAAYZQ01	f__JAAYZQ01	g__JAMJFU01	s__	0.181	0.291	NA	0.133	NA	0.132	0.138	NA	NA	0.005	0.006	0.004	0.015	NA
Saltmarsh	bin_10	1074060	78	18401	35.80499119	67.75	0	0	d__Bacteria	p__Patescibacteria	c__ABY1	o__BM507	f__UBA12075	g__	s__	0.179	0.230	NA	0.181	NA	0.217	0.158	NA	NA	0.023	0.022	0.022	0.023	NA
Saltmarsh	bin_100	3911184	665	6932	47.91643651	79.11	7.04	18.18	d__Bacteria	p__Desulfobacterota	c__DSM-4660	o__Desulfatiglandales	f__Desulfatiglandaceae	g__JAIOSR01	s__	0.149	0.134	NA	0.089	NA	0.074	0.033	NA	NA	0.104	0.049	0.079	0.075	NA
Saltmarsh	bin_101	3889225	329	18968	46.43178803	87.64	3.01	14.29	d__Bacteria	p__Desulfobacterota	c__DSM-4660	o__Desulfatiglandales	f__Desulfatiglandaceae	g__JAFDHL01	s__	0.337	0.305	NA	0.055	NA	0.266	0.125	NA	NA	0.020	0.006	0.007	0.018	NA
Saltmarsh	bin_102	1209546	200	6634	37.59825871	50.34	0	0	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	s__	0.157	0.184	NA	0.183	NA	0.336	0.157	NA	NA	0.024	0.004	0.001	0.006	NA
Saltmarsh	bin_103	4446134	805	6160	39.90694607	78.87	7.8	5.56	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__JAGONC01	g__	s__	0.005	0.020	NA	0.356	NA	0.004	0.003	NA	NA	0.000	0.000	0.000	0.001	NA
Saltmarsh	bin_104	2499157	351	8423	45.93794862	72.42	4.65	16.67	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__UBA11858	g__B10-G9	s__	0.069	0.097	NA	0.093	NA	0.047	0.070	NA	NA	0.011	0.004	0.005	0.007	NA
Saltmarsh	bin_105	4526193	599	9667	37.20869787	87.36	4.68	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prolixibacteraceae	g__Draconibacterium	s__	0.020	0.153	NA	0.654	NA	0.011	0.009	NA	NA	0.005	0.002	0.002	0.009	NA
Saltmarsh	bin_106	2692707	289	11766	57.63645449	97.8	3.3	33.33	d__Bacteria	p__TA06_A	c__DG-26_A	o__SM23-81	f__SM23-81	g__	s__	0.104	0.120	NA	0.037	NA	0.139	0.095	NA	NA	0.002	0.000	0.000	0.008	NA
Saltmarsh	bin_107	1467187	123	16663	48.13114977	85.96	2.15	0	d__Bacteria	p__Omnitrophota	c__Koll11	o__Duberdicusellales	f__Duberdicusellaceae	g__JAFGCB01	s__	0.184	0.123	NA	0.067	NA	0.095	0.045	NA	NA	0.005	0.002	0.003	0.014	NA
Saltmarsh	bin_108	3533761	225	25349	63.38657499	91.97	5.13	0	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__Aminicenantales	f__RBG-16-66-30	g__	s__	0.144	0.145	NA	0.112	NA	0.104	0.064	NA	NA	0.036	0.022	0.024	0.055	NA
Saltmarsh	bin_109	6336065	343	35584	61.60764791	91.82	5.45	16.67	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__JAAYZQ01	f__JAAYZQ01	g__	s__	0.203	0.452	NA	0.572	NA	0.134	0.149	NA	NA	0.006	0.007	0.007	0.016	NA
Saltmarsh	bin_11	3779811	226	30606	47.4993323	86.36	2.91	0	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__UBA4823	g__	s__	0.407	0.476	NA	0.036	NA	0.311	0.131	NA	NA	0.012	0.013	0.004	0.035	NA
Saltmarsh	bin_110	1213705	61	37626	40.79115806	77.31	1.85	50	d__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__UM-FILTER-43-11	f__UM-FILTER-43-11	g__JAFGCT01	s__	0.232	0.286	NA	0.169	NA	0.291	0.242	NA	NA	0.014	0.007	0.008	0.024	NA
Saltmarsh	bin_111	1553423	338	4879	44.72801273	67.9	1.35	25	d__Bacteria	p__Desulfobacterota	c__DSM-4660	o__Desulfatiglandales	f__B25-G16	g__B33-G16	s__	0.249	0.109	NA	0.019	NA	0.090	0.041	NA	NA	0.027	0.003	0.003	0.011	NA
Saltmarsh	bin_112	2771714	196	23002	55.19204994	67.88	5.45	0	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__E44-bin32	g__E44-bin32	s__	0.112	0.158	NA	0.187	NA	0.084	0.211	NA	NA	0.003	0.002	0.003	0.006	NA
Saltmarsh	bin_113	3165514	135	43930	51.30994459	93.68	2.38	12.5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__SR-FBR-E99	s__	0.004	0.010	NA	0.868	NA	0.004	0.003	NA	NA	0.007	0.007	0.010	0.037	NA
Saltmarsh	bin_114	846742	36	34153	54.22438159	82.89	0.47	100	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__QMZP01	f__QMZP01	g__	s__	0.303	0.214	NA	0.028	NA	0.211	0.102	NA	NA	0.046	0.012	0.017	0.024	NA
Saltmarsh	bin_115	912131	144	8384	48.75677268	69.75	8.91	0	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA5760	g__UBA5760	s__UBA5760 sp015222205	0.160	0.166	NA	0.014	NA	0.092	0.043	NA	NA	0.134	0.044	0.039	0.314	NA
Saltmarsh	bin_116	3741402	682	6077	55.73531175	57.21	2.59	0	d__Bacteria	p__Acidobacteriota	c__B3-B38	o__	f__	g__	s__	0.115	0.094	NA	0.014	NA	0.077	0.059	NA	NA	0.075	0.058	0.067	0.144	NA
Saltmarsh	bin_117	1890357	321	6871	36.5970458	75.45	7.73	0	d__Bacteria	p__Actinomycetota	c__Humimicrobiia	o__Humimicrobiales	f__Humimicrobiaceae	g__	s__	0.092	0.145	NA	0.118	NA	0.047	0.028	NA	NA	0.002	0.001	0.002	0.015	NA
Saltmarsh	bin_118	3511220	406	11219	32.43488407	88.57	3.87	50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Yeosuana	s__Yeosuana marina	0.033	0.298	NA	0.029	NA	0.803	0.129	NA	NA	0.017	0.147	0.149	0.022	NA
Saltmarsh	bin_119	4326634	666	7647	65.22301023	88.85	4.95	40	d__Bacteria	p__JAGLTZ01	c__JAGLTZ01	o__JAGLTZ01	f__JAGLTZ01	g__	s__	0.203	0.169	NA	0.024	NA	0.154	0.095	NA	NA	0.018	0.009	0.008	0.032	NA
Saltmarsh	bin_12	4276902	385	16267	47.2025584	83.54	7.76	23.08	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__Aminicenantales	f__Aminicenantaceae	g__G020348385	s__	0.181	0.239	NA	1.341	NA	0.240	0.129	NA	NA	0.025	0.084	0.121	0.014	NA
Saltmarsh	bin_120	4273698	262	27409	45.21369378	90.37	7.79	11.11	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__Aminicenantales	f__Aminicenantaceae	g__G020348385	s__	0.137	0.172	NA	0.089	NA	0.162	0.104	NA	NA	0.018	0.009	0.015	0.027	NA
Saltmarsh	bin_121	2423397	363	7797	48.6129443	84.21	2.5	8.33	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__JABDQZ01	s__	0.066	0.072	NA	0.016	NA	0.148	0.092	NA	NA	0.055	0.090	0.091	0.199	NA
Saltmarsh	bin_122	2705193	403	7808	66.21219517	74.88	0.68	0	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__UBA8416	f__JAIOPI01	g__	s__	0.001	0.001	NA	0.403	NA	0.001	0.001	NA	NA	0.008	0.004	0.004	0.006	NA
Saltmarsh	bin_123	1681368	294	7458	46.69704465	63.17	9.21	5.88	d__Bacteria	p__Patescibacteria	c__Dojkabacteria	o__SC72	f__JAFGCJ01	g__	s__	0.049	0.056	NA	0.208	NA	0.067	0.074	NA	NA	0.035	0.022	0.034	0.063	NA
Saltmarsh	bin_124	1707123	399	4272	44.29212245	70.02	4.67	28.57	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__SMTZ1-45	s__	0.110	0.116	NA	0.035	NA	0.079	0.042	NA	NA	0.013	0.009	0.010	0.018	NA
Saltmarsh	bin_125	3115385	352	13138	38.4378851	92.06	5.61	14.29	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__TCS64	f__TCS64	g__RBG-16-57-9	s__	0.545	0.696	NA	0.404	NA	0.474	0.255	NA	NA	0.087	0.031	0.050	0.112	NA
Saltmarsh	bin_126	2578654	603	4325	38.7110684	51.3	1.6	0	d__Archaea	p__Thermoplasmatota	c__JAEHCK01	o__JAEHCK01	f__JAEHCK01	g__	s__	0.151	0.083	NA	0.018	NA	0.067	0.027	NA	NA	0.002	0.001	0.000	0.004	NA
Saltmarsh	bin_127	3262056	411	10680	63.0434913	90.83	3.54	50	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__UBA2200	g__	s__	0.122	0.185	NA	0.174	NA	0.036	0.011	NA	NA	0.010	0.004	0.004	0.011	NA
Saltmarsh	bin_128	3296326	186	26657	57.63875788	98	1.43	12.5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Robiginitalea	s__	0.116	0.154	NA	0.197	NA	0.126	0.135	NA	NA	0.007	0.008	0.018	0.006	NA
Saltmarsh	bin_129	3316330	524	7438	67.0673379	81.87	5.57	26.92	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiohalocapsa	s__	0.116	0.150	NA	0.105	NA	0.169	0.128	NA	NA	0.221	0.164	0.193	0.273	NA
Saltmarsh	bin_13	3261639	116	50550	30.69791173	86.92	7.94	0	d__Archaea	p__Asgardarchaeota	c__Heimdallarchaeia	o__JABLTI01	f__JABLTI01	g__JABLTI01	s__	0.148	0.225	NA	0.121	NA	0.145	0.103	NA	NA	0.032	0.016	0.019	0.021	NA
Saltmarsh	bin_130	2342144	442	5721	44.41413028	75.03	3.28	66.67	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Muriicola	s__	0.065	0.116	NA	0.147	NA	0.101	0.070	NA	NA	0.006	0.006	0.011	0.014	NA
Saltmarsh	bin_131	3239393	373	11387	62.3405287	77.74	0.86	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Solirhodobacter	s__	0.011	0.012	NA	0.003	NA	1.728	2.462	NA	NA	0.003	0.074	0.039	0.002	NA
Saltmarsh	bin_132	2710455	278	14376	30.62340539	92.8	4	0	d__Archaea	p__Thermoplasmatota	c__E2	o__DHVEG-1	f__DHVEG-1	g__SG8-52-3	s__	0.350	0.268	NA	0.017	NA	0.322	0.202	NA	NA	0.199	0.124	0.130	0.092	NA
Saltmarsh	bin_133	3240779	309	14483	32.22368151	89.11	8.47	40	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Melioribacteraceae	g__GCA-2746605	s__	0.015	0.115	NA	1.679	NA	0.017	0.009	NA	NA	0.044	0.047	0.073	0.262	NA
Saltmarsh	bin_134	1488587	234	7735	36.90819568	89.24	3.74	80	d__Bacteria	p__Actinomycetota	c__Humimicrobiia	o__Humimicrobiales	f__Humimicrobiaceae	g__	s__	1.689	2.314	NA	2.734	NA	1.162	0.621	NA	NA	0.033	0.034	0.049	0.107	NA
Saltmarsh	bin_135	450798	38	20396	51.13658501	51.25	2.56	75	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA6257	f__Colwellbacteraceae	g__	s__	0.090	0.104	NA	0.137	NA	0.107	0.088	NA	NA	0.004	0.001	0.004	0.005	NA
Saltmarsh	bin_136	2463266	295	10757	57.11426135	59.48	0	0	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__	g__	s__	0.025	0.018	NA	0.001	NA	0.347	0.279	NA	NA	0.004	0.022	0.013	0.001	NA
Saltmarsh	bin_137	3188108	425	9273	46.34237297	86.56	1.02	50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__UBA2365	s__	0.001	0.019	NA	0.427	NA	0.001	0.001	NA	NA	0.000	0.000	0.000	0.001	NA
Saltmarsh	bin_138	2740218	205	20537	29.97862104	92.39	9.75	51.85	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Lutibacter	s__	0.007	0.296	NA	0.158	NA	1.294	4.565	NA	NA	0.003	0.078	0.245	0.009	NA
Saltmarsh	bin_139	2472434	266	13069	41.44512497	90.17	1.86	75	d__Bacteria	p__Bacillota_A	c__Clostridia	o__DUPQ01	f__DUPQ01	g__JAFGQE01	s__	0.009	0.040	NA	0.532	NA	0.009	0.008	NA	NA	0.046	0.025	0.036	0.071	NA
Saltmarsh	bin_14	693740	59	17030	53.76943953	58.38	0.99	100	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__AB-539-J10	g__JADFUZ01	s__	0.522	0.502	NA	0.023	NA	0.338	0.117	NA	NA	0.114	0.035	0.028	0.104	NA
Saltmarsh	bin_140	4488153	247	35960	52.1960895	95.48	6.98	5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__GCA-2748055	g__GCA-2748055	s__	0.098	0.159	NA	0.096	NA	0.085	0.096	NA	NA	0.007	0.005	0.009	0.027	NA
Saltmarsh	bin_141	4607492	429	16437	63.26753407	90.11	1.1	0	d__Bacteria	p__Fermentibacterota	c__JAFGKV01	o__	f__	g__	s__	0.068	0.103	NA	0.137	NA	0.096	0.047	NA	NA	0.003	0.002	0.002	0.007	NA
Saltmarsh	bin_142	2080647	433	5100	68.86433466	71.46	2.85	16.67	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__SSC3	s__	0.001	0.001	NA	0.001	NA	0.027	0.336	NA	NA	0.000	0.005	0.018	0.000	NA
Saltmarsh	bin_143	2908426	505	6647	45.01967096	63	3.95	14.29	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__PGXB01	g__	s__	0.096	0.105	NA	0.068	NA	0.079	0.035	NA	NA	0.003	0.001	0.001	0.004	NA
Saltmarsh	bin_144	2957830	592	5384	40.22774956	62.56	9.56	60	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__	s__	0.147	0.114	NA	0.024	NA	0.100	0.050	NA	NA	0.008	0.004	0.004	0.009	NA
Saltmarsh	bin_145	1049634	166	6588	49.41973008	62.69	8.41	0	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__UBA11576	g__	s__	0.099	0.095	NA	0.022	NA	0.088	0.047	NA	NA	0.000	0.000	0.000	0.000	NA
